test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,74.68,4.95,13913.03
pp4096+tg256,4096,256,79.74,9.57,51468.75
pp2048+tg256,2048,256,81.51,9.86,25226.76
pp2048+tg768,2048,768,79.96,10.42,25709.63
pp1024+tg1024,1024,1024,81.94,10.33,12593.01
pp1280+tg3072,1280,3072,76.90,11.05,16735.74
pp384+tg1152,384,1152,71.46,10.57,5468.00
pp64+tg1024,64,1024,40.27,10.75,1682.15
pp16+tg1536,16,1536,19.36,10.52,921.69

# Summary
# avg_prompt_tps,67.31
# avg_gen_tps,9.78
# avg_ttft_ms,17079.86
# performance_score,33.78
