test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,10796.40,324.50,97.93
pp4096+tg256,4096,256,9004.44,329.27,457.92
pp2048+tg256,2048,256,10068.14,328.61,206.46
pp2048+tg768,2048,768,10070.49,315.92,206.53
pp1024+tg1024,1024,1024,10794.74,297.08,98.23
pp1280+tg3072,1280,3072,10114.60,206.01,131.40
pp384+tg1152,384,1152,2610.19,78.54,159.85
pp64+tg1024,64,1024,448.81,46.24,164.23
pp16+tg1536,16,1536,180.44,46.32,110.26

# Summary
# avg_prompt_tps,7120.92
# avg_gen_tps,219.17
# avg_ttft_ms,181.42
# performance_score,2048.98
