test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,8526.38,334.83,123.08
pp4096+tg256,4096,256,7364.14,330.49,559.23
pp2048+tg256,2048,256,8073.73,330.47,256.69
pp2048+tg768,2048,768,8059.38,318.87,257.25
pp1024+tg1024,1024,1024,8475.57,305.52,124.09
pp1280+tg3072,1280,3072,7580.83,303.62,172.14
pp384+tg1152,384,1152,6974.54,313.69,58.25
pp64+tg1024,64,1024,1858.96,314.74,37.61
pp16+tg1536,16,1536,485.10,312.13,36.19

# Summary
# avg_prompt_tps,6377.63
# avg_gen_tps,318.26
# avg_ttft_ms,180.50
# performance_score,2240.38
