test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,9493.27,197.52,112.93
pp4096+tg256,4096,256,6386.97,169.60,647.20
pp2048+tg256,2048,256,6326.46,157.64,330.06
pp2048+tg768,2048,768,6407.82,118.28,328.06
pp1024+tg1024,1024,1024,1971.66,70.50,533.54
pp1280+tg3072,1280,3072,1753.54,34.58,758.87
pp384+tg1152,384,1152,848.01,34.70,481.65
pp64+tg1024,64,1024,406.84,34.80,186.05
pp16+tg1536,16,1536,175.20,34.65,120.19

# Summary
# avg_prompt_tps,3752.20
# avg_gen_tps,94.70
# avg_ttft_ms,388.73
# performance_score,970.49
