test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,12477.95,288.78,85.53
pp4096+tg256,4096,256,12543.31,293.15,329.96
pp2048+tg256,2048,256,12679.20,292.89,164.94
pp2048+tg768,2048,768,12697.12,292.06,164.72
pp1024+tg1024,1024,1024,12536.57,291.05,85.12
pp1280+tg3072,1280,3072,11210.16,289.45,117.64
pp384+tg1152,384,1152,11033.29,291.15,38.24
pp64+tg1024,64,1024,4032.45,290.91,19.31
pp16+tg1536,16,1536,1078.21,291.08,18.27

# Summary
# avg_prompt_tps,10032.03
# avg_gen_tps,291.17
# avg_ttft_ms,113.75
# performance_score,2950.29
