test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,42833.38,791.91,25.17
pp4096+tg256,4096,256,29162.75,800.24,141.70
pp2048+tg256,2048,256,38767.36,799.81,54.08
pp2048+tg768,2048,768,38627.05,349.03,55.88
pp1024+tg1024,1024,1024,43457.83,773.71,24.86
pp1280+tg3072,1280,3072,39980.16,762.35,33.33
pp384+tg1152,384,1152,39300.03,774.33,11.06
pp64+tg1024,64,1024,14317.89,775.55,5.76
pp16+tg1536,16,1536,5391.92,776.18,4.26

# Summary
# avg_prompt_tps,32426.49
# avg_gen_tps,733.68
# avg_ttft_ms,39.57
# performance_score,8440.35
