test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,43550.07,794.43,24.77
pp4096+tg256,4096,256,29095.30,800.71,142.03
pp2048+tg256,2048,256,38687.43,800.42,54.19
pp2048+tg768,2048,768,38682.32,770.18,54.24
pp1024+tg1024,1024,1024,43692.12,773.77,24.73
pp1280+tg3072,1280,3072,39951.80,761.67,33.35
pp384+tg1152,384,1152,39063.18,777.16,11.12
pp64+tg1024,64,1024,14307.27,775.43,5.76
pp16+tg1536,16,1536,5419.16,777.21,4.24

# Summary
# avg_prompt_tps,32494.30
# avg_gen_tps,781.22
# avg_ttft_ms,39.38
# performance_score,8638.37
