test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,48216.88,835.40,22.43
pp4096+tg256,4096,256,30535.86,832.00,135.34
pp2048+tg256,2048,256,42067.76,834.58,49.88
pp2048+tg768,2048,768,42130.11,797.55,49.87
pp1024+tg1024,1024,1024,48587.45,783.91,22.35
pp1280+tg3072,1280,3072,45525.14,732.24,29.48
pp384+tg1152,384,1152,46692.85,779.44,9.51
pp64+tg1024,64,1024,20702.62,782.43,4.37
pp16+tg1536,16,1536,4892.48,775.45,4.56

# Summary
# avg_prompt_tps,36594.57
# avg_gen_tps,794.78
# avg_ttft_ms,36.42
# performance_score,9277.62
